ID,Current Role,Average Salary (USD),Careers Switch,Industry,Favorite Programming Language,Salary Satisfaction,Work/Balance Satisfaction,Coworkers Satisfaction,Management Satisfaction,Upward Mobility Satisfaction,Learning New Things Satisfaction,Difficulty to Break,Most Important Thing,Gender,Age,Country,Level of Education,Ethnicity
459,Data Analyst,20000.0,No,Technology and Information Technology,Python,8.0,7.0,8.0,7.0,7.0,9.0,Easy,Professional Development,Female,21,India,Bachelors,Asian
460,Data Analyst,53000.0,Yes,Healthcare and Biotechnology,Python,8.0,5.0,8.0,8.0,5.0,10.0,Difficult,Work Environment Preferences,Female,34,Israel,Masters,White or Caucasian
461,None,20000.0,No,Education,Python,2.0,5.0,5.0,5.0,2.0,4.0,Difficult,Compensation and Benefits,Male,27,Netherlands,Bachelors,White or Caucasian
462,Consultant,20000.0,Yes,Technology and Information Technology,Python,7.0,8.0,8.0,8.0,8.0,7.0,Neither easy nor difficult,Work Environment,Male,27,France,Masters,White or Caucasian
463,None,20000.0,No,Education,R,1.0,1.0,2.0,1.0,0.0,3.0,Neither easy nor difficult,Work-Life Balance,Male,30,Kenya,Associates,African
464,Data Analyst,75500.0,Yes,Government and Public Sector,SQL,2.0,0.0,0.0,0.0,0.0,2.0,Difficult,Compensation and Benefits,Female,33,United States,Bachelors,White or Caucasian
465,Data Analyst,95500.0,Yes,Finance and Banking,Python,3.0,3.0,4.0,4.0,4.0,4.0,Difficult,Work Environment,Male,47,India,Masters,American Indian or Alaska Native
466,Data Analyst,75500.0,Yes,Retail and E-commerce,SQL,4.0,5.0,4.0,5.0,4.0,4.0,Difficult,Various,Male,27,United States,Masters,Asian
467,Data Analyst,20000.0,No,Healthcare and Biotechnology,Python,6.0,7.0,8.0,7.0,6.0,7.0,Neither easy nor difficult,Compensation and Benefits,Male,26,India,Bachelors,Asian
468,Data Analyst,20000.0,No,Finance and Banking,Python,2.0,3.0,2.0,5.0,5.0,6.0,Neither easy nor difficult,Work Environment Preferences,Female,35,India,Masters,Asian
469,Data Analyst,95500.0,Yes,Education,Python,0.0,1.0,1.0,0.0,0.0,0.0,Neither easy nor difficult,Work Environment,Male,31,United States,Masters,Hispanic or Latino
470,Data Analyst,20000.0,Yes,Education,Python,2.0,1.0,2.0,3.0,4.0,3.0,Difficult,Work Environment Preferences,Male,25,Zambia,Bachelors,Black or African American
471,Data Engineer,75500.0,Yes,Construction and Real Estate,Python,3.0,10.0,8.0,8.0,10.0,10.0,Easy,Work Environment Preferences,Male,27,United States,Bachelors,White or Caucasian
472,Data Analyst,53000.0,Yes,Technology and Information Technology,Python,5.0,8.0,3.0,2.0,4.0,8.0,Neither easy nor difficult,Work Environment,Male,32,Netherlands,Bachelors,White or Caucasian
473,None,20000.0,Yes,Construction and Real Estate,Python,0.0,3.0,3.0,3.0,3.0,6.0,Difficult,Work-Life Balance,Male,47,Portugal,Bachelors,White or Caucasian
474,Database Administrator,75500.0,No,Finance and Banking,Python,0.0,10.0,10.0,5.0,0.0,0.0,Neither easy nor difficult,Work-Life Balance,Female,30,United States,Masters,Asian
475,Data Analyst,115500.0,Yes,Aerospace and Defense,Python,8.0,6.0,6.0,7.0,9.0,10.0,Easy,Compensation and Benefits,Female,35,United States,Masters,Black or African American
476,Data Analyst,53000.0,Yes,Finance and Banking,Python,6.0,9.0,5.0,7.0,8.0,9.0,Difficult,Work Environment Preferences,Male,25,United States,High School,Hispanic or Latino
477,Data Steward,75500.0,No,Food and Beverage,Python,3.0,6.0,6.0,6.0,6.0,6.0,Neither easy nor difficult,Compensation and Benefits,Male,27,United States,Bachelors,White or Caucasian
478,Data Analyst,53000.0,Yes,Healthcare and Biotechnology,R,1.0,5.0,3.0,3.0,6.0,5.0,Difficult,Work Environment Preferences,Female,27,United States,Masters,Black or African American
479,None,20000.0,No,Technology and Data Services,Python,1.0,8.0,8.0,1.0,3.0,7.0,Very Easy,Compensation and Benefits,Female,23,India,Masters,Asian
480,Data Scientist,53000.0,No,Manufacturing and Industrial,Python,9.0,10.0,10.0,10.0,10.0,10.0,Neither easy nor difficult,Work Environment,Male,18,United States,Bachelors,White or Caucasian
481,Data Analyst,20000.0,Yes,Healthcare and Biotechnology,Python,8.0,10.0,9.0,6.0,8.0,9.0,Easy,Work Environment Preferences,Female,28,Costa Rica,Masters,Hispanic or Latino
482,Manager,137500.0,Yes,Healthcare and Biotechnology,Python,7.0,6.0,8.0,8.0,8.0,7.0,Easy,Work Environment Preferences,Male,28,United States,Bachelors,White or Caucasian
483,None,20000.0,No,Other,Python,0.0,0.0,0.0,0.0,0.0,0.0,Easy,Work-Life Balance,Female,26,United States,Bachelors,American Indian or Alaska Native
484,None,20000.0,No,Education,Python,0.0,0.0,3.0,0.0,0.0,8.0,Difficult,Compensation and Benefits,Male,27,Ghana,Bachelors,Black or African American
485,Data Analyst,53000.0,No,Technology and Information Technology,Python,9.0,7.0,9.0,10.0,10.0,10.0,Neither easy nor difficult,Work-Life Balance,Female,22,India,Masters,Asian
486,Data Analyst,20000.0,Yes,Technology and Information Technology,R,0.0,8.0,7.0,6.0,3.0,9.0,Very Difficult,Compensation and Benefits,Male,27,United States,High School,White or Caucasian
487,Data Engineer,20000.0,Yes,Food and Beverage,Python,5.0,7.0,6.0,8.0,7.0,7.0,Neither easy nor difficult,Work-Life Balance,Male,28,India,Bachelors,Asian
488,Data Analyst,20000.0,Yes,Technology and Information Technology,Python,3.0,2.0,4.0,3.0,3.0,3.0,Neither easy nor difficult,Compensation and Benefits,Male,25,Nigeria,High School,Black or African American
489,Data Analyst,20000.0,No,Healthcare and Biotechnology,Python,2.0,6.0,6.0,7.0,7.0,9.0,Difficult,Compensation and Benefits,Male,32,United Kingdom,Bachelors,Hispanic or Latino
490,None,20000.0,Yes,Finance and Banking,SQL,7.0,9.0,10.0,10.0,3.0,4.0,Easy,Work Environment Preferences,Male,33,Uruguay,Bachelors,White or Caucasian
491,Data Analyst,53000.0,No,Government and Public Sector,Python,5.0,6.0,5.0,2.0,3.0,3.0,Easy,Work Environment Preferences,Male,23,Canada,Masters,Black or African American
492,None,20000.0,Yes,Finance and Banking,R,4.0,5.0,4.0,4.0,5.0,6.0,Neither easy nor difficult,Work Environment Preferences,Female,40,Nigeria,Bachelors,Black or African American
493,Data Analyst,53000.0,Yes,Professional Services,Python,7.0,9.0,9.0,9.0,7.0,9.0,Easy,Compensation and Benefits,Female,28,United Kingdom,Bachelors,Asian
494,Data Analyst,20000.0,No,Construction and Real Estate,R,3.0,7.0,8.0,6.0,6.0,9.0,Difficult,Work Environment Preferences,Male,26,Nigeria,High School,Black or African American
495,Consultant,20000.0,Yes,Technology and Information Technology,Python,3.0,5.0,5.0,4.0,3.0,2.0,Difficult,Compensation and Benefits,Female,24,India,Bachelors,Asian
496,Engineer,95500.0,Yes,Finance and Banking,Python,7.0,5.0,5.0,8.0,8.0,8.0,Neither easy nor difficult,Work Environment Preferences,Female,40,United States,Associates,Bi-racial/Multi-racial
497,Data Analyst,75500.0,Yes,Professional Services,Python,8.0,10.0,10.0,10.0,7.0,9.0,Neither easy nor difficult,Compensation and Benefits,Male,26,United States,Bachelors,Black or African American
498,Data Scientist,53000.0,Yes,Professional Services,Python,8.0,8.0,10.0,10.0,10.0,10.0,Easy,Work Environment,Female,44,United Kingdom,Bachelors,White or Caucasian
499,Systems Configuration,75500.0,Yes,Finance and Insurance,Python,7.0,9.0,8.0,8.0,6.0,6.0,Neither easy nor difficult,Compensation and Benefits,Male,36,United States,Masters,White or Caucasian
500,Analyst,20000.0,Yes,Human Resources and Recruiting,Python,1.0,5.0,10.0,10.0,8.0,10.0,Neither easy nor difficult,Compensation and Benefits,Male,30,Costa Rica,Bachelors,Hispanic or Latino
501,Analyst,20000.0,Yes,Construction and Real Estate,Python,3.0,3.0,3.0,2.0,2.0,2.0,Very Easy,Work-Life Balance,Male,48,Indonesia,Masters,Asian
502,Data Analyst,53000.0,Yes,Construction and Real Estate,PHP,1.0,4.0,1.0,2.0,2.0,3.0,Easy,Compensation and Benefits,Female,30,Canada,Masters,Asian
503,Engineer,20000.0,No,Telecommunications,Python,3.0,8.0,8.0,5.0,3.0,5.0,Difficult,Compensation and Benefits,Male,28,India,Bachelors,Asian
504,Engineer,20000.0,No,Technology and Information Technology,Python,5.0,8.0,7.0,7.0,3.0,2.0,Difficult,Compensation and Benefits,Male,25,India,Bachelors,Asian
505,Engineer,115500.0,No,Technology and Information Technology,SQL,6.0,5.0,4.0,4.0,3.0,4.0,Easy,Compensation and Benefits,Male,24,United States,Masters,American Indian or Alaska Native
506,Data Analyst,53000.0,Yes,Non-Profit and Social Services,Python,5.0,10.0,7.0,7.0,4.0,8.0,Easy,Compensation and Benefits,Male,31,United States,Bachelors,Black or African American
507,Data Engineer,20000.0,No,Construction and Real Estate,Python,3.0,3.0,8.0,9.0,5.0,3.0,Easy,Compensation and Benefits,Male,23,United Kingdom,Bachelors,Arab
508,Data Analyst,53000.0,No,Security and Investigation,DAX,1.0,4.0,4.0,1.0,1.0,4.0,Easy,Work Environment,Female,48,United Kingdom,Masters,White or Caucasian
509,Data Analyst,75500.0,Yes,Healthcare and Biotechnology,Python,6.0,9.0,8.0,8.0,8.0,7.0,Neither easy nor difficult,Compensation and Benefits,Male,28,United States,Bachelors,Black or African American
510,Data Analyst,53000.0,Yes,Retail and E-commerce,Python,5.0,7.0,7.0,7.0,7.0,7.0,Difficult,Compensation and Benefits,Male,32,United Kingdom,Masters,Hispanic or Latino
511,Data Scientist,53000.0,Yes,Finance and Banking,Python,5.0,7.0,7.0,4.0,5.0,7.0,Neither easy nor difficult,Compensation and Benefits,Male,30,Hong Kong,Bachelors,Asian
512,Data Analyst,20000.0,Yes,Finance and Insurance,Python,5.0,5.0,7.0,7.0,7.0,8.0,Neither easy nor difficult,Work-Life Balance,Male,32,Tunisia,Masters,White or Caucasian
513,Data Analyst,20000.0,Yes,Technology and Information Technology,Python,0.0,3.0,0.0,1.0,0.0,0.0,Easy,Work Environment,Female,30,Sri Lanka,Masters,Asian
514,Data Analyst,20000.0,Yes,Manufacturing and Industrial,Python,4.0,2.0,5.0,2.0,4.0,4.0,Neither easy nor difficult,Work-Life Balance,Female,35,Spain,Masters,White or Caucasian
515,None,20000.0,Yes,Technology and Information Technology,R,Unknown,Unknown,Unknown,Unknown,Unknown,10.0,Easy,Work Environment Preferences,Female,38,United Kingdom,Masters,Black or African American
516,Manager,75500.0,Yes,Retail and E-commerce,Python,6.0,6.0,7.0,7.0,6.0,7.0,Easy,Work Environment,Female,30,United States,Masters,Asian
517,Data Analyst,53000.0,Yes,Technology and Information Technology,Python,3.0,3.0,5.0,4.0,4.0,4.0,Neither easy nor difficult,Compensation and Benefits,Male,48,United States,Bachelors,White or Caucasian
518,Data Analyst,75500.0,Yes,Finance and Banking,SQL,5.0,8.0,5.0,5.0,5.0,4.0,Easy,Work Environment Preferences,Male,32,Canada,Masters,Asian
519,Manager,53000.0,Yes,Telecommunications,Python,4.0,5.0,4.0,5.0,5.0,6.0,Difficult,Work-Life Balance,Male,27,India,Bachelors,American Indian or Alaska Native
520,Product Owner,53000.0,No,Technology and Information Technology,Python,7.0,9.0,5.0,6.0,6.0,7.0,Easy,Job Satisfaction,Male,27,United Kingdom,Masters,White or Caucasian
521,None,20000.0,No,Finance and Banking,Python,8.0,7.0,6.0,7.0,8.0,10.0,Neither easy nor difficult,Work Environment Preferences,Male,24,Kenya,Bachelors,African
522,Data Scientist,187500.0,Yes,Finance and Banking,R,9.0,9.0,9.0,9.0,8.0,8.0,Difficult,Compensation and Benefits,Male,42,United States,PhD,Asian
523,Analyst,53000.0,No,Technology and Information Technology,Python,8.0,6.0,6.0,8.0,7.0,8.0,Neither easy nor difficult,Compensation and Benefits,Male,24,United States,Bachelors,Hispanic or Latino
524,Database Developer,20000.0,Yes,Technology and Information Technology,Python,5.0,9.0,7.0,7.0,6.0,9.0,Easy,Compensation and Benefits,Male,23,India,Bachelors,Asian
525,Data Analyst,20000.0,No,Technology and Information Technology,Python,7.0,9.0,8.0,8.0,4.0,2.0,Neither easy nor difficult,Compensation and Benefits,Male,26,India,Bachelors,Asian
526,Data Analyst,53000.0,No,Consumer Goods and Home Living,SQL,5.0,6.0,6.0,2.0,2.0,3.0,Neither easy nor difficult,Compensation and Benefits,Male,32,Germany,Bachelors,Black or African American
527,Engineer,20000.0,No,Telecommunications,Python,4.0,3.0,2.0,0.0,0.0,0.0,Neither easy nor difficult,Work-Life Balance,Male,35,Argentina,Bachelors,White or Caucasian
528,Data Analyst,115500.0,Yes,Healthcare and Biotechnology,Python,4.0,3.0,4.0,2.0,2.0,2.0,Easy,Work-Life Balance,Male,41,United States,High School,White or Caucasian
529,Analyst,53000.0,No,Education,Python,4.0,9.0,8.0,8.0,6.0,7.0,Neither easy nor difficult,Compensation and Benefits,Male,25,United States,Masters,White or Caucasian
530,Data Analyst,20000.0,Yes,Construction and Real Estate,Python,0.0,0.0,0.0,0.0,0.0,0.0,Very Difficult,Compensation and Benefits,Female,28,United States,Masters,Asian
531,Data Analyst,53000.0,Yes,Agriculture,Python,3.0,6.0,5.0,5.0,5.0,6.0,Neither easy nor difficult,Compensation and Benefits,Male,29,United States,Bachelors,White or Caucasian
532,None,20000.0,No,Telecommunications,Python,8.0,10.0,6.0,7.0,8.0,8.0,Neither easy nor difficult,Compensation and Benefits,Male,19,United States,High School,White or Caucasian
533,Data Analyst,53000.0,Yes,Finance and Insurance,Python,5.0,6.0,9.0,6.0,7.0,10.0,Neither easy nor difficult,Compensation and Benefits,Male,27,India,Bachelors,Asian
534,None,20000.0,Yes,Finance and Banking,Python,8.0,9.0,9.0,7.0,8.0,8.0,Neither easy nor difficult,Compensation and Benefits,Male,25,Other,Bachelors,White or Caucasian
535,Data Analyst,53000.0,Yes,Non-Profit and Social Services,Python,6.0,10.0,10.0,10.0,10.0,8.0,Difficult,Compensation and Benefits,Female,26,Canada,Masters,Asian
536,Data Analyst,20000.0,Yes,Healthcare and Biotechnology,Python,3.0,4.0,5.0,5.0,4.0,5.0,Difficult,Work-Life Balance,Male,25,Spain,Bachelors,White or Caucasian
537,Data Analyst,20000.0,Yes,Manufacturing and Industrial,Python,6.0,6.0,9.0,9.0,10.0,10.0,Neither easy nor difficult,Work Environment Preferences,Male,25,Portugal,Bachelors,White or Caucasian
538,Data Analyst,20000.0,Yes,Healthcare and Biotechnology,R,2.0,3.0,4.0,3.0,3.0,5.0,Neither easy nor difficult,Work-Life Balance,Male,26,Liberia,Bachelors,Black or African American
539,Data Analyst,137500.0,Yes,Education,Python,8.0,8.0,7.0,6.0,7.0,9.0,Neither easy nor difficult,Work Environment,Male,35,United States,Bachelors,White or Caucasian
540,Data Analyst,95500.0,Yes,Retail and E-commerce,Python,6.0,7.0,7.0,6.0,7.0,6.0,Difficult,Work Environment Preferences,Male,29,United States,Masters,Black or African American
541,Data Analyst,95500.0,Yes,Technology and Information Technology,Python,7.0,6.0,5.0,4.0,3.0,6.0,Neither easy nor difficult,Compensation and Benefits,Female,41,United States,Associates,Hispanic or Latino
542,None,20000.0,No,Education,Python,0.0,6.0,4.0,5.0,2.0,4.0,Very Difficult,Work Environment Preferences,Female,22,United States,Bachelors,Hispanic or Latino
543,Data Analyst,75500.0,Yes,Healthcare and Biotechnology,None,2.0,6.0,6.0,4.0,3.0,3.0,Difficult,Compensation and Benefits,Male,35,United States,Bachelors,Hispanic or Latino
544,Data Analyst,75500.0,Yes,Finance and Banking,Python,4.0,3.0,4.0,4.0,4.0,6.0,Very Difficult,Compensation and Benefits,Male,30,Singapore,Bachelors,Asian
545,Data Engineer,187500.0,No,Construction and Real Estate,Python,4.0,6.0,3.0,2.0,3.0,3.0,Neither easy nor difficult,Work Environment,Male,37,Canada,Bachelors,Asian
546,Data Analyst,75500.0,Yes,Transportation and Logistics,Python,6.0,7.0,7.0,5.0,5.0,9.0,Difficult,Compensation and Benefits,Female,28,United States,Masters,Black or African American
547,Data Analyst,95500.0,No,Construction and Real Estate,Python,7.0,5.0,6.0,6.0,4.0,6.0,Neither easy nor difficult,Work Environment,Male,23,United States,High School,White or Caucasian
548,None,20000.0,No,Finance and Banking,Python,3.0,4.0,8.0,5.0,5.0,3.0,Neither easy nor difficult,Compensation and Benefits,Male,26,United States,High School,Asian
549,Data Analyst,75500.0,No,Logistics and Distribution,Python,2.0,4.0,4.0,3.0,4.0,4.0,Neither easy nor difficult,Work-Life Balance,Male,25,Australia,Bachelors,Native Hawaiian or Other Pacific Islander
550,Data Analyst,20000.0,No,Technology and Information Technology,Python,0.0,1.0,2.0,1.0,1.0,1.0,Neither easy nor difficult,Work Environment Preferences,Male,23,India,Bachelors,Asian
551,None,20000.0,Yes,Other,None,0.0,1.0,0.0,0.0,0.0,0.0,Neither easy nor difficult,Work Environment,Male,53,Nigeria,Bachelors,Black or African American
552,Data Engineer,20000.0,Yes,Technology and Information Technology,Python,4.0,6.0,6.0,3.0,7.0,9.0,Neither easy nor difficult,Compensation and Benefits,Female,33,Romania,Bachelors,White or Caucasian
553,None,20000.0,Yes,Finance and Banking,R,3.0,5.0,5.0,4.0,5.0,6.0,Difficult,Compensation and Benefits,Male,39,Other,High School,Black or African American
554,Data Analyst,20000.0,Yes,Healthcare and Biotechnology,None,6.0,7.0,5.0,7.0,7.0,9.0,Difficult,Compensation and Benefits,Female,22,United Kingdom,Bachelors,White or Caucasian
555,Data Analyst,53000.0,No,Finance and Banking,Python,4.0,7.0,7.0,7.0,5.0,5.0,Easy,Compensation and Benefits,Male,24,Germany,Bachelors,White or Caucasian
556,Data Architect,95500.0,No,Energy and Utilities,Python,5.0,1.0,3.0,1.0,4.0,5.0,Difficult,Work-Life Balance,Male,31,Canada,High School,White or Caucasian
557,Data Analyst,20000.0,Yes,Retail and E-commerce,Python,0.0,0.0,0.0,0.0,0.0,0.0,Very Difficult,Compensation and Benefits,Male,25,None,Bachelors,Asian
558,None,20000.0,No,Technology and Information Technology,R,4.0,7.0,7.0,6.0,6.0,6.0,Neither easy nor difficult,Compensation and Benefits,Male,25,India,Bachelors,Asian
559,Data Analyst,20000.0,No,Technology and Information Technology,Python,3.0,4.0,4.0,4.0,2.0,0.0,Neither easy nor difficult,Work-Life Balance,Male,23,India,Bachelors,Asian
560,Ads Operations,53000.0,Yes,Advertising and Marketing,SQL,6.0,7.0,7.0,7.0,7.0,6.0,Neither easy nor difficult,Work Environment Preferences,Male,23,India,Bachelors,Asian
561,Data Analyst,95500.0,No,Healthcare and Biotechnology,Python,8.0,9.0,8.0,8.0,8.0,9.0,Difficult,Compensation and Benefits,Male,40,United States,High School,White or Caucasian
562,Data Analyst,53000.0,No,Non-Profit and Social Services,C/C++,5.0,6.0,6.0,2.0,0.0,4.0,Neither easy nor difficult,Compensation and Benefits,Male,29,United States,Bachelors,Hispanic or Latino
563,Data Analyst,20000.0,Yes,Technology and Information Technology,Python,1.0,7.0,5.0,5.0,4.0,4.0,Difficult,Compensation and Benefits,Male,28,India,Bachelors,Asian
564,Data Analyst,20000.0,Yes,Healthcare and Biotechnology,R,3.0,6.0,6.0,4.0,6.0,3.0,Very Easy,Compensation and Benefits,Female,28,United Kingdom,Masters,Black or African American
565,None,20000.0,Yes,Telecommunications,Python,0.0,3.0,3.0,4.0,5.0,5.0,Difficult,Work-Life Balance,Female,26,India,Masters,Asian
566,Data Engineer,53000.0,No,Construction and Real Estate,Python,6.0,8.0,8.0,5.0,5.0,5.0,Neither easy nor difficult,Compensation and Benefits,Male,30,Netherlands,Masters,White or Caucasian
567,Data Analyst,75500.0,Yes,Education,SQL,5.0,9.0,7.0,9.0,8.0,9.0,Neither easy nor difficult,Compensation and Benefits,Male,27,Australia,Bachelors,Asian
568,Data Analyst,20000.0,Yes,Retail and E-commerce,None,2.0,0.0,5.0,3.0,0.0,3.0,Very Difficult,Work Environment Preferences,Male,28,Nigeria,Bachelors,Black or African American
569,Data Analyst,75500.0,No,Education,Python,3.0,3.0,5.0,3.0,3.0,4.0,Neither easy nor difficult,Work-Life Balance,Female,38,Nigeria,Masters,Black or African American
570,Data Analyst,20000.0,No,Finance and Banking,Python,2.0,6.0,5.0,5.0,6.0,6.0,Easy,Work Environment,Male,22,Mexico,Bachelors,White or Caucasian
571,Data Analyst,95500.0,Yes,Energy and Utilities,Python,7.0,8.0,9.0,9.0,9.0,9.0,Difficult,Compensation and Benefits,Male,34,United States,Bachelors,Hispanic or Latino
572,Data Analyst,20000.0,No,Technology and Information Technology,Python,3.0,8.0,8.0,5.0,7.0,9.0,Easy,Compensation and Benefits,Male,26,Indonesia,Bachelors,Asian
573,Data Analyst,75500.0,Yes,Technology and Information Technology,Python,5.0,9.0,7.0,7.0,8.0,9.0,Neither easy nor difficult,Compensation and Benefits,Female,26,Canada,Bachelors,Asian
574,Data Engineer,75500.0,No,Education,Python,10.0,10.0,10.0,9.0,9.0,10.0,Difficult,Work Environment Preferences,Male,25,Greece,Bachelors,European
575,Data Scientist,137500.0,Yes,Technology and Information Technology,Python,5.0,3.0,7.0,4.0,5.0,3.0,Easy,Work Environment,Male,34,United States,Bachelors,Black or African American
576,Developer,53000.0,Yes,Finance and Banking,DAX,7.0,10.0,10.0,10.0,4.0,5.0,Neither easy nor difficult,Work-Life Balance,Female,32,Poland,Bachelors,Hispanic or Latino
577,None,20000.0,No,Construction and Real Estate,R,2.0,2.0,2.0,2.0,2.0,2.0,Difficult,Compensation and Benefits,Male,24,United States,Associates,Black or African American
578,Data Engineer,20000.0,Yes,Technology and Information Technology,Python,7.0,3.0,3.0,2.0,5.0,9.0,Difficult,Compensation and Benefits,Male,26,Argentina,Bachelors,Hispanic or Latino
579,Data Analyst,53000.0,Yes,Telecommunications,SQL,4.0,7.0,5.0,6.0,4.0,6.0,Difficult,Compensation and Benefits,Female,32,Sweden,Masters,Black or African American
580,Data Scientist,53000.0,No,Technology and Information Technology,R,5.0,1.0,7.0,1.0,1.0,2.0,Neither easy nor difficult,Work-Life Balance,Male,40,Portugal,Masters,White or Caucasian
581,Data Analyst,20000.0,No,Advertising and Marketing,Python,0.0,7.0,1.0,6.0,0.0,0.0,Easy,Compensation and Benefits,Male,27,United States,Bachelors,Black or African American
582,Data Analyst,75500.0,Yes,Technology and Information Technology,R,4.0,3.0,6.0,7.0,4.0,7.0,Easy,Compensation and Benefits,Male,28,United States,Masters,Black or African American
583,Data Analyst,20000.0,Yes,Consumer Goods,Python,1.0,9.0,5.0,5.0,1.0,1.0,Difficult,Compensation and Benefits,Male,30,Nigeria,Bachelors,African
584,Data Analyst,20000.0,Yes,Other,Python,0.0,6.0,5.0,5.0,5.0,6.0,Difficult,Work Environment Preferences,Male,37,United States,Bachelors,White or Caucasian
585,Software Support,53000.0,No,Technology and Information Technology,JavaScript,7.0,7.0,5.0,5.0,0.0,0.0,Difficult,Work Environment,Male,32,Australia,Bachelors,Asian
586,Data Analyst,53000.0,Yes,Technology and Information Technology,Python,9.0,7.0,10.0,10.0,5.0,8.0,Neither easy nor difficult,Compensation and Benefits,Male,24,Saudi Arabia,Bachelors,Arab
587,Data Analyst,20000.0,Yes,Technology and Information Technology,Python,6.0,7.0,7.0,7.0,5.0,6.0,Neither easy nor difficult,Compensation and Benefits,Male,39,Argentina,Associates,White or Caucasian
588,Data Analyst,137500.0,Yes,Finance and Banking,Python,6.0,8.0,7.0,4.0,4.0,2.0,Easy,Professional Development,Male,34,Australia,Bachelors,Asian
589,Data Analyst,53000.0,No,Aerospace and Defense,Python,5.0,6.0,10.0,7.0,3.0,3.0,Neither easy nor difficult,Work Environment Preferences,Male,27,United States,Bachelors,Black or African American
590,Data Analyst,75500.0,Yes,Healthcare and Biotechnology,SQL,7.0,7.0,4.0,7.0,7.0,7.0,Difficult,Compensation and Benefits,Male,54,United States,High School,White or Caucasian
591,None,20000.0,No,Technology and Information Technology,Python,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Difficult,Work Environment Preferences,Female,20,India,Bachelors,Asian
592,None,20000.0,Yes,Finance and Banking,SQL,3.0,3.0,3.0,3.0,3.0,3.0,Neither easy nor difficult,Work-Life Balance,Male,25,India,Masters,Asian
593,None,20000.0,No,Technology and Information Technology,Python,7.0,7.0,2.0,2.0,7.0,9.0,Easy,Work-Life Balance,Male,33,India,Bachelors,Asian
594,Data Analyst,53000.0,Yes,Technology and Information Technology,Python,4.0,8.0,8.0,8.0,10.0,10.0,Very Easy,Work Environment Preferences,Male,30,United Kingdom,Masters,White or Caucasian
595,None,20000.0,Yes,Technology and Information Technology,Python,0.0,4.0,2.0,0.0,1.0,3.0,Neither easy nor difficult,Compensation and Benefits,Male,31,Niger,High School,Black or African American
596,None,20000.0,Yes,Manufacturing and Industrial,Python,5.0,6.0,5.0,6.0,2.0,1.0,Difficult,Work Environment Preferences,Male,22,France,Masters,Arab
597,Data Analyst,75500.0,Yes,Technology and Information Technology,R,8.0,10.0,10.0,10.0,8.0,9.0,Neither easy nor difficult,Work Environment Preferences,Female,38,United States,Bachelors,Black or African American
598,Data Analyst,20000.0,No,Logistics and Distribution,Python,6.0,9.0,7.0,7.0,5.0,8.0,Neither easy nor difficult,Work-Life Balance,Male,22,Malaysia,Bachelors,Asian
599,Data Scientist,20000.0,Yes,Construction and Real Estate,Python,2.0,3.0,4.0,5.0,3.0,6.0,Very Easy,Compensation and Benefits,Male,33,India,Bachelors,Asian
600,Data Analyst,53000.0,Yes,Technology and Information Technology,Python,3.0,6.0,6.0,6.0,5.0,5.0,Neither easy nor difficult,Compensation and Benefits,Male,27,Canada,Bachelors,White or Caucasian
601,Data Analyst,20000.0,No,Technology and Information Technology,R,0.0,6.0,3.0,0.0,0.0,10.0,Neither easy nor difficult,Work Environment Preferences,Male,19,Algeria,Bachelors,White or Caucasian
602,Specialist,20000.0,No,Retail and E-commerce,Python,1.0,6.0,2.0,5.0,1.0,0.0,Neither easy nor difficult,Compensation and Benefits,Male,24,India,Bachelors,Asian
603,Director,187500.0,No,Finance and Banking,None,8.0,10.0,9.0,10.0,8.0,10.0,Very Easy,Work Environment,Female,58,United States,Masters,White or Caucasian
604,Data Analyst,20000.0,No,Technology and Information Technology,Python,2.0,2.0,5.0,6.0,6.0,3.0,Neither easy nor difficult,Work-Life Balance,Male,22,Nigeria,Bachelors,Black or African American
605,Data Analyst,95500.0,No,Technology and Information Technology,Python,4.0,4.0,4.0,4.0,3.0,4.0,Neither easy nor difficult,Compensation and Benefits,Male,26,Ireland,Masters,Asian
606,Manager,53000.0,No,Technology and Information Technology,None,4.0,5.0,4.0,5.0,5.0,3.0,Easy,Work Environment,Female,31,United Kingdom,Bachelors,White or Caucasian
607,Data Analyst,53000.0,No,Agriculture,Python,2.0,2.0,4.0,5.0,1.0,1.0,Neither easy nor difficult,Compensation and Benefits,Male,23,United States,High School,Hispanic or Latino
608,Data Analyst,95500.0,No,Healthcare and Biotechnology,Python,7.0,10.0,10.0,10.0,7.0,8.0,Neither easy nor difficult,Work Environment Preferences,Female,31,United States,Masters,Asian
609,None,75500.0,No,Construction and Real Estate,None,5.0,5.0,7.0,7.0,9.0,10.0,Difficult,Compensation and Benefits,Female,24,United States,Bachelors,Asian
610,Engineer,53000.0,Yes,Finance and Banking,Python,8.0,10.0,10.0,10.0,10.0,10.0,Neither easy nor difficult,Compensation and Benefits,Male,29,Mexico,Bachelors,Hispanic or Latino
611,None,20000.0,Yes,Education,Python,7.0,8.0,9.0,8.0,9.0,10.0,Difficult,Work-Life Balance,Male,26,Indonesia,Bachelors,Asian
612,None,20000.0,Yes,Science and Research,Python,3.0,9.0,9.0,9.0,9.0,9.0,Neither easy nor difficult,Compensation and Benefits,Male,20,India,High School,Asian
